index,company,body-style,wheel-base,length,engine-type,num-of-cylinders,horsepower,average-mileage,price
56,nissan,wagon,0.18769230769230782,0.4343283582089552,ohc,four,0.08749999999999997,0.5294117647058824,0.05461005242366268
57,nissan,sedan,0.36923076923076925,0.6492537313432836,ohcv,six,0.4333333333333333,0.17647058823529416,0.20740887972371985
61,porsche,hardtop,0.03384615384615364,0.41492537313432853,ohcf,six,0.6624999999999999,0.11764705882352944,0.7174588188526423
62,porsche,convertible,0.03384615384615364,0.41492537313432853,ohcf,six,0.6624999999999999,0.11764705882352944,0.7919948321697433
63,porsche,hatchback,0.30769230769230793,0.5164179104477609,dohcv,eight,1.0,0.11764705882352944,
66,toyota,hatchback,0.22461538461538488,0.26268656716417915,ohc,four,0.05833333333333329,0.6470588235294117,0.004894531541156294
67,toyota,hatchback,0.22461538461538488,0.26268656716417915,ohc,four,0.05833333333333329,0.5294117647058824,0.029491415935799625
68,toyota,hatchback,0.22461538461538488,0.26268656716417915,ohc,four,0.05833333333333329,0.5294117647058824,0.03321821660165469
69,toyota,wagon,0.22461538461538488,0.4268656716417909,ohc,four,0.05833333333333329,0.5294117647058824,0.043901711843772506
70,toyota,wagon,0.22461538461538488,0.4268656716417909,ohc,four,0.05833333333333329,0.4117647058823529,0.06825014286069217
71,toyota,wagon,0.22461538461538488,0.4268656716417909,ohc,four,0.05833333333333329,0.4117647058823529,0.09011404010037516
79,toyota,wagon,0.4953846153846153,0.6970149253731344,dohc,six,0.45,0.17647058823529416,0.263335735049318
80,volkswagen,sedan,0.27384615384615385,0.4567164179104477,ohc,four,0.016666666666666663,0.7058823529411764,0.06519416631469105
81,volkswagen,sedan,0.27384615384615385,0.4567164179104477,ohc,four,0.15416666666666667,0.4117647058823529,0.07016323386916445
82,volkswagen,sedan,0.27384615384615385,0.4567164179104477,ohc,four,0.016666666666666663,0.7058823529411764,0.07066014062461179
86,volkswagen,sedan,0.27384615384615385,0.4567164179104477,ohc,four,0.21666666666666667,0.38235294117647056,0.12035081616934581
87,volvo,sedan,0.4892307692307689,0.711940298507463,ohc,four,0.27499999999999997,0.2941176470588236,0.19352033590896667
88,volvo,wagon,0.4892307692307689,0.711940298507463,ohc,four,0.27499999999999997,0.2941176470588236,0.205321871350841
